time,avg_power
0,10.0
100,9.984891246092927
200,9.818974748832195
300,9.547542469688537
400,9.28390615434287
500,9.019077442746713
600,8.752489360031403
700,8.488853044685797
800,8.224024333089748
900,7.957436250374578
1000,7.714415821574614
1100,7.476902299376709
1200,7.239097632289936
1300,7.003777336694077
1400,6.767216840403268
1500,6.529796953954887
1600,6.307253598932767
1700,6.091567271789438
1800,5.882996718836012
1900,5.684474744565396
2000,5.49011149113517
2100,5.304943752242304
2200,5.123028360080748
2300,4.948608241098984
2400,4.774939673115186
2500,4.615035588428341
2600,4.473403855870784
2700,4.343978183886963
2800,4.226859034763755
2900,4.1168478958546855
3000,4.009784843054699
3100,3.9050490563557085
3200,3.8141456122829847
3300,3.738377306537535
3400,3.6710929022062273
3500,3.6070554473698695
3600,3.543609329680986
3700,3.4814525416729087
3800,3.419669550610287
3900,3.3616482153375657
4000,3.306085692509287
4100,3.2550165043072763
4200,3.2057202593618306
4300,3.1577899944406247
4400,3.1120174360891166
4500,3.0690956736325554
4600,3.0277166557093276
4700,2.98821936197196
4800,2.9522486199275235
4900,2.9182582479517727
